step,charts/global_step,charts/mean_ep_length,charts/mean_reward,charts/progress_pct,charts/rollout_time,charts/steps_per_sec,charts/update_time,train/actor_loss,train/approx_kl,train/clip_epsilon,train/clip_fraction,train/critic_loss,train/early_stopped,train/entropy,train/entropy_coef,train/learning_rate,train/total_loss
2048,2048.000000,20.642105,20.642105,1.024000,0.500665,1008.108539,1.530791,-0.020130,0.009928,0.200000,0.147754,40.116690,0.000000,0.683636,0.010000,0.000250,20.031378
12288,12288.000000,84.930000,84.930000,6.144000,0.318296,1531.692109,0.726234,-0.005979,0.002897,0.189691,0.031836,113.324401,0.000000,0.546058,0.009485,0.000237,56.651042
22528,22528.000000,174.160000,174.160004,11.264000,0.661686,1286.512480,3.368463,-0.004182,0.002988,0.179381,0.047363,112.640770,0.000000,0.511023,0.008969,0.000224,56.311619
32768,32768.000000,242.290000,242.289993,16.384000,1.989948,899.233766,1.744207,-0.002138,0.001067,0.169072,0.008838,98.929346,0.000000,0.490269,0.008454,0.000211,49.458390
43008,43008.000000,303.420000,303.420013,21.504000,0.363522,1022.024333,0.771434,-0.001411,0.001344,0.158763,0.023779,92.805994,0.000000,0.497258,0.007938,0.000198,46.397639
53248,53248.000000,288.760000,288.760010,26.624000,0.334805,1110.354692,0.861391,-0.001329,0.000685,0.148454,0.008838,90.990874,0.000000,0.505306,0.007423,0.000186,45.490358
63488,63488.000000,323.130000,323.130005,31.744000,0.347432,1174.696714,0.750211,-0.003259,0.001268,0.138144,0.032666,89.241227,0.000000,0.501708,0.006907,0.000173,44.613889
73728,73728.000000,357.750000,357.750000,36.864000,0.316927,1243.066278,0.743114,-0.001881,0.000665,0.127835,0.010010,84.008406,0.000000,0.519503,0.006392,0.000160,41.999001
83968,83968.000000,378.500000,378.500000,41.984000,0.328084,1282.312618,1.016953,-0.001635,0.000623,0.117526,0.012793,80.835247,0.000000,0.507724,0.005876,0.000147,40.413004
94208,94208.000000,416.830000,416.829987,47.104000,0.308093,1314.484774,0.727868,-0.001344,0.000717,0.107216,0.025000,80.443709,0.000000,0.523788,0.005361,0.000134,40.217702
104448,104448.000000,427.590000,427.589996,52.224000,0.667912,1325.924673,1.169832,-0.001206,0.000438,0.096907,0.018896,76.570856,0.000000,0.562002,0.004845,0.000121,38.281499
114688,114688.000000,410.340000,410.339996,57.344000,0.354076,1357.833674,0.827908,-0.001618,0.000301,0.086598,0.009766,71.171903,0.000000,0.547016,0.004330,0.000108,35.581964
124928,124928.000000,380.200000,380.200012,62.464000,0.361085,1378.730661,0.810185,-0.001478,0.000513,0.076289,0.022266,65.788040,0.000000,0.550948,0.003814,0.000095,32.890440
135168,135168.000000,366.930000,366.929993,67.584000,0.308639,1406.693729,0.721267,-0.000700,0.000280,0.065979,0.018311,67.247935,0.000000,0.554953,0.003299,0.000082,33.621437
145408,145408.000000,381.680000,381.679993,72.704000,0.370887,1429.924754,0.797402,-0.000480,0.000085,0.055670,0.005908,66.413021,0.000000,0.548269,0.002784,0.000070,33.204504
155648,155648.000000,394.260000,394.260010,77.824000,0.380052,1446.030664,0.817073,-0.000379,0.000123,0.045361,0.020410,64.440929,0.000000,0.541253,0.002268,0.000057,32.218858
165888,165888.000000,416.660000,416.660004,82.944000,0.337441,1462.924143,0.784221,-0.000331,0.000039,0.035052,0.006738,62.565230,0.000000,0.543065,0.001753,0.000044,31.281332
176128,176128.000000,432.880000,432.880005,88.064000,0.312244,1479.898755,0.722811,-0.000120,0.000032,0.024742,0.015674,62.895825,0.000000,0.542457,0.001237,0.000031,31.447121
186368,186368.000000,445.920000,445.920013,93.184000,0.345221,1494.502908,0.812030,-0.000113,0.000004,0.014433,0.004004,61.763328,0.000000,0.537188,0.000722,0.000018,30.881164
196608,196608.000000,461.370000,461.369995,98.304000,0.453384,1505.578040,0.808318,-0.000009,0.000000,0.004124,0.000000,60.311514,0.000000,0.536686,0.000206,0.000005,30.155637
